"";"Longitude";"Latitude";"variable";"obs";"sim";"var"
"1";453809.489;5494685.698;NA;"CLAY";14.2;NA
"2";453757.488;5494631.064;NA;"CLAY";17.8;NA
"3";453698.246;5494631.064;NA;"CLAY";15.4;NA
"4";453843.718;5494618.228;NA;"CLAY";14.8;NA
"5";453641.638;5494684.71;NA;"CLAY";15;NA
"6";453626.827;5494587.949;NA;"CLAY";16.9;NA
"7";453809.489;5494685.698;NA;"SAND";62.6;NA
"8";453757.488;5494631.064;NA;"SAND";59.6;NA
"9";453698.246;5494631.064;NA;"SAND";59.3;NA
"10";453843.718;5494618.228;NA;"SAND";58.3;NA
"11";453641.638;5494684.71;NA;"SAND";62.2;NA
"12";453626.827;5494587.949;NA;"SAND";59.1;NA
"13";453809.489;5494685.698;NA;"SILT";23.2;NA
"14";453757.488;5494631.064;NA;"SILT";22.6;NA
"15";453698.246;5494631.064;NA;"SILT";25.3;NA
"16";453843.718;5494618.228;NA;"SILT";26.9;NA
"17";453641.638;5494684.71;NA;"SILT";22.8;NA
"18";453626.827;5494587.949;NA;"SILT";24.1;NA
"19";453809.489;5494685.698;NA;NA;14.2;NA
"20";453757.488;5494631.064;NA;NA;17.8;NA
"21";453698.246;5494631.064;NA;NA;15.4;NA
"22";453843.718;5494618.228;NA;NA;14.8;NA
"23";453641.638;5494684.71;NA;NA;15;NA
"24";453626.827;5494587.949;NA;NA;16.9;NA
"25";453809.489;5494685.698;NA;NA;62.6;NA
"26";453757.488;5494631.064;NA;NA;59.6;NA
"27";453698.246;5494631.064;NA;NA;59.3;NA
"28";453843.718;5494618.228;NA;NA;58.3;NA
"29";453641.638;5494684.71;NA;NA;62.2;NA
"30";453626.827;5494587.949;NA;NA;59.1;NA
"31";453809.489;5494685.698;NA;NA;23.2;NA
"32";453757.488;5494631.064;NA;NA;22.6;NA
"33";453698.246;5494631.064;NA;NA;25.3;NA
"34";453843.718;5494618.228;NA;NA;26.9;NA
"35";453641.638;5494684.71;NA;NA;22.8;NA
"36";453626.827;5494587.949;NA;NA;24.1;NA
"37";453809.489;5494685.698;NA;NA;14.2;NA
"38";453757.488;5494631.064;NA;NA;17.8;NA
"39";453698.246;5494631.064;NA;NA;15.4;NA
"40";453843.718;5494618.228;NA;NA;14.8;NA
"41";453641.638;5494684.71;NA;NA;15;NA
"42";453626.827;5494587.949;NA;NA;16.9;NA
"43";453809.489;5494685.698;NA;NA;62.6;NA
"44";453757.488;5494631.064;NA;NA;59.6;NA
"45";453698.246;5494631.064;NA;NA;59.3;NA
"46";453843.718;5494618.228;NA;NA;58.3;NA
"47";453641.638;5494684.71;NA;NA;62.2;NA
"48";453626.827;5494587.949;NA;NA;59.1;NA
"49";453809.489;5494685.698;NA;NA;23.2;NA
"50";453757.488;5494631.064;NA;NA;22.6;NA
"51";453698.246;5494631.064;NA;NA;25.3;NA
"52";453843.718;5494618.228;NA;NA;26.9;NA
"53";453641.638;5494684.71;NA;NA;22.8;NA
"54";453626.827;5494587.949;NA;NA;24.1;NA
